experiment,context_length,checkpoint,training_seconds,parameter_count,best_validation_cross_entropy,best_validation_bpb,epochs_completed,train_files,validation_files,train_dataset,validation_dataset,model_config,seed,corpus
V1-128,128,checkpoints\phase_j_v1_128.pt,8866.096973100008,123968,0.5611447291374206,0.8095607179475374,30,45,5,"{""files_discovered"": 45, ""files_used"": 45, ""samples"": 18000, ""bytes_considered"": 27081430, ""context_length"": 128, ""stride"": 128, ""max_bytes_per_file"": 16777216, ""archives_included"": false}","{""files_discovered"": 5, ""files_used"": 5, ""samples"": 2000, ""bytes_considered"": 12822315, ""context_length"": 128, ""stride"": 128, ""max_bytes_per_file"": 16777216, ""archives_included"": false}","{""embedding_dim"": 64, ""hidden_dim"": 128, ""num_layers"": 1, ""context_length"": 128, ""dropout"": 0.0, ""architecture_id"": ""causal-byte-gru-v1""}",42,"{""root"": ""data\\domain_focused"", ""files"": 50, ""extensions"": ["".csv"", "".json"", "".log"", "".txt""]}"
V1-256,256,checkpoints\phase_j_v1_256.pt,46219.53094900001,123968,0.6017099299430847,0.8680839319825339,30,45,5,"{""files_discovered"": 45, ""files_used"": 45, ""samples"": 18000, ""bytes_considered"": 27081430, ""context_length"": 128, ""stride"": 256, ""max_bytes_per_file"": 16777216, ""archives_included"": false}","{""files_discovered"": 5, ""files_used"": 5, ""samples"": 2000, ""bytes_considered"": 12822315, ""context_length"": 128, ""stride"": 256, ""max_bytes_per_file"": 16777216, ""archives_included"": false}","{""embedding_dim"": 64, ""hidden_dim"": 128, ""num_layers"": 1, ""context_length"": 128, ""dropout"": 0.0, ""architecture_id"": ""causal-byte-gru-v1""}",42,"{""root"": ""data\\domain_focused"", ""files"": 50, ""extensions"": ["".csv"", "".json"", "".log"", "".txt""]}"
