file,original_bytes,model_entropy_bits,model_entropy_bpb,quantization_loss_bits,quantization_loss_bpb,entropy_coder_overhead_bits,entropy_coder_overhead_bpb,container_overhead_bits,container_overhead_bpb,payload_bytes,artifact_bytes,actual_bpb,identity_error_bits
results\compression_comparison\corpus\source_code.py,1071,5917.509399173657,5.525218860106122,-69.28693326069424,-0.06469368184938772,39.777534087037566,0.03714055470311631,4752,4.436974789915967,736,1330,9.934640522875817,0.0
results\compression_comparison\corpus\streaming_source.py,2690,14258.020298216863,5.300379293017421,-189.9265767659199,-0.07060467537766539,35.90627854905688,0.013348058940169842,4760,1.7695167286245352,1763,2358,7.012639405204461,0.0
results\compression_comparison\corpus\text_readme.md,239,1273.4828121895307,5.328379967320212,-14.377322163048348,-0.06015615967802656,36.89450997351764,0.15437033461722863,4744,19.84937238493724,162,755,25.271966527196653,0.0
