epoch,train_cross_entropy,val_cross_entropy,val_bpb_estimate,learning_rate,grad_scaler_scale,gradient_norm,gradient_norm_epoch_max,gradient_norm_epoch_mean,gradient_abs_max,parameter_abs_max,optimizer_state_abs_max,logits_abs_max,embedding_activation_abs_max,embedding_parameter_abs_max,vram_max_bytes,vram_allocated_bytes,vram_reserved_bytes,gpu_utilization_percent,samples_per_second,epoch_seconds,elapsed_seconds,eta_seconds,block_0_attention_context_abs_max,block_0_attention_context_rms,block_0_attention_k_abs_max,block_0_attention_k_rms,block_0_attention_normalized_input_abs_max,block_0_attention_normalized_input_rms,block_0_attention_output_abs_max,block_0_attention_output_rms,block_0_attention_q_abs_max,block_0_attention_q_rms,block_0_attention_v_abs_max,block_0_attention_v_rms,block_0_block_input_abs_max,block_0_block_input_rms,block_0_ffn_dropout_abs_max,block_0_ffn_dropout_rms,block_0_ffn_first_projection_abs_max,block_0_ffn_first_projection_rms,block_0_ffn_gate_activation_abs_max,block_0_ffn_gate_activation_rms,block_0_ffn_gated_product_abs_max,block_0_ffn_gated_product_rms,block_0_ffn_normalized_input_abs_max,block_0_ffn_normalized_input_rms,block_0_ffn_output_abs_max,block_0_ffn_output_rms,block_0_residual_attention_abs_max,block_0_residual_attention_rms,block_0_residual_ffn_abs_max,block_0_residual_ffn_rms,block_0_activation_abs_max,max_activation_layer_0,block_0_ffn_input_rms,block_0_ffn_hidden_rms,block_1_attention_context_abs_max,block_1_attention_context_rms,block_1_attention_k_abs_max,block_1_attention_k_rms,block_1_attention_normalized_input_abs_max,block_1_attention_normalized_input_rms,block_1_attention_output_abs_max,block_1_attention_output_rms,block_1_attention_q_abs_max,block_1_attention_q_rms,block_1_attention_v_abs_max,block_1_attention_v_rms,block_1_block_input_abs_max,block_1_block_input_rms,block_1_ffn_dropout_abs_max,block_1_ffn_dropout_rms,block_1_ffn_first_projection_abs_max,block_1_ffn_first_projection_rms,block_1_ffn_gate_activation_abs_max,block_1_ffn_gate_activation_rms,block_1_ffn_gated_product_abs_max,block_1_ffn_gated_product_rms,block_1_ffn_normalized_input_abs_max,block_1_ffn_normalized_input_rms,block_1_ffn_output_abs_max,block_1_ffn_output_rms,block_1_residual_attention_abs_max,block_1_residual_attention_rms,block_1_residual_ffn_abs_max,block_1_residual_ffn_rms,block_1_activation_abs_max,max_activation_layer_1,block_1_ffn_input_rms,block_1_ffn_hidden_rms,block_2_attention_context_abs_max,block_2_attention_context_rms,block_2_attention_k_abs_max,block_2_attention_k_rms,block_2_attention_normalized_input_abs_max,block_2_attention_normalized_input_rms,block_2_attention_output_abs_max,block_2_attention_output_rms,block_2_attention_q_abs_max,block_2_attention_q_rms,block_2_attention_v_abs_max,block_2_attention_v_rms,block_2_block_input_abs_max,block_2_block_input_rms,block_2_ffn_dropout_abs_max,block_2_ffn_dropout_rms,block_2_ffn_first_projection_abs_max,block_2_ffn_first_projection_rms,block_2_ffn_gate_activation_abs_max,block_2_ffn_gate_activation_rms,block_2_ffn_gated_product_abs_max,block_2_ffn_gated_product_rms,block_2_ffn_normalized_input_abs_max,block_2_ffn_normalized_input_rms,block_2_ffn_output_abs_max,block_2_ffn_output_rms,block_2_residual_attention_abs_max,block_2_residual_attention_rms,block_2_residual_ffn_abs_max,block_2_residual_ffn_rms,block_2_activation_abs_max,max_activation_layer_2,block_2_ffn_input_rms,block_2_ffn_hidden_rms,block_3_attention_context_abs_max,block_3_attention_context_rms,block_3_attention_k_abs_max,block_3_attention_k_rms,block_3_attention_normalized_input_abs_max,block_3_attention_normalized_input_rms,block_3_attention_output_abs_max,block_3_attention_output_rms,block_3_attention_q_abs_max,block_3_attention_q_rms,block_3_attention_v_abs_max,block_3_attention_v_rms,block_3_block_input_abs_max,block_3_block_input_rms,block_3_ffn_dropout_abs_max,block_3_ffn_dropout_rms,block_3_ffn_first_projection_abs_max,block_3_ffn_first_projection_rms,block_3_ffn_gate_activation_abs_max,block_3_ffn_gate_activation_rms,block_3_ffn_gated_product_abs_max,block_3_ffn_gated_product_rms,block_3_ffn_normalized_input_abs_max,block_3_ffn_normalized_input_rms,block_3_ffn_output_abs_max,block_3_ffn_output_rms,block_3_residual_attention_abs_max,block_3_residual_attention_rms,block_3_residual_ffn_abs_max,block_3_residual_ffn_rms,block_3_activation_abs_max,max_activation_layer_3,block_3_ffn_input_rms,block_3_ffn_hidden_rms
1,5.531225384502996,5.52489527633667,7.970739016601773,0.0001,512.0,0.1864822953939438,0.6947388648986816,0.1960897067006429,0.13309788703918457,4.424748420715332,28125.0,13.409597396850586,4.594359397888184,4.424748420715332,557233664.0,89976832.0,595591168.0,75.0,152.948028606472,2942.175875688,2942.176200244,11768.704800976,7.430555820465088,1.0572965145111084,10.7578125,0.6912247538566589,4.754905700683594,1.0127182006835938,17.90625,2.2284791469573975,3.720703125,0.6729311943054199,6.6875,0.7111682891845703,4.594359397888184,0.9864728450775146,17.282987594604492,1.988610029220581,9.5078125,1.0041296482086182,9.5078125,0.8976211547851562,82.875,1.105343222618103,5.4075541496276855,1.1010955572128296,15.5546875,1.8966503143310547,7.124202728271484,1.154837965965271,10.444515228271484,1.3014086484909058,82.875,10.444515228271484,1.1010955572128296,1.105343222618103,14.843600273132324,3.8567750453948975,10.90625,1.2646586894989014,5.827642917633057,1.0684897899627686,108.625,14.802058219909668,7.484375,1.4712694883346558,13.5,3.381045341491699,10.444515228271484,1.3014086484909058,23.24652862548828,1.2637022733688354,9.03125,0.9388137459754944,9.03125,0.7653699517250061,80.25,0.5888992547988892,5.400652885437012,1.0466328859329224,20.921875,1.200178623199463,34.04658126831055,4.547525882720947,34.506649017333984,4.728868007659912,108.625,34.506649017333984,1.0466328859329224,0.5888992547988892,15.57239055633545,5.4340362548828125,8.8828125,1.5743061304092407,5.911146640777588,1.117566704750061,151.0,21.92389488220215,11.4609375,1.8051080703735352,14.296875,5.425199031829834,34.506649017333984,4.728868007659912,31.68402862548828,1.3668395280838013,9.65625,1.157158374786377,8.8125,0.9983557462692261,73.75,0.6245579719543457,5.619279861450195,1.0444718599319458,28.8125,1.29985511302948,68.95982360839844,9.964580535888672,69.67090606689453,10.152664184570312,151.0,69.67090606689453,1.0444718599319458,0.6245579719543457,17.835060119628906,7.208751201629639,8.796875,1.2891196012496948,6.451895713806152,1.1676617860794067,243.875,33.80839157104492,10.125,1.5742446184158325,17.046875,7.2187066078186035,69.67090606689453,10.152664184570312,74.16667175292969,1.926021695137024,15.9453125,1.3192702531814575,12.09375,0.9938750863075256,151.25,0.7296370267868042,5.995333194732666,1.0646861791610718,67.875,1.8340684175491333,129.48545837402344,18.412519454956055,130.69952392578125,18.76111602783203,243.875,130.69952392578125,1.0646861791610718,0.7296370267868042
2,5.5256991081515,5.523072704772949,7.9681096016451285,0.0001,1024.0,0.149032860994339,0.46942344307899475,0.16712619228839876,0.15126371383666992,4.282626628875732,56250.0,14.862717628479004,4.424933910369873,4.282626628875732,557243904.0,90118144.0,597688320.0,81.0,152.9862226005127,2941.441342565,5884.446905594,8826.670358391,5.909140110015869,0.5857650637626648,10.9453125,0.7172327637672424,4.575547218322754,0.9809514284133911,16.578125,1.3445488214492798,4.00390625,0.6922187209129333,5.4453125,0.7396305203437805,4.424933910369873,0.9537752866744995,21.336807250976562,2.238737106323242,8.1875,0.9610040187835693,7.86328125,0.7741054892539978,59.90625,1.154500126838684,5.440293312072754,1.0833616256713867,19.375,2.1349027156829834,6.351868629455566,1.022940993309021,9.1257905960083,1.0785109996795654,59.90625,9.1257905960083,1.0833616256713867,1.154500126838684,14.932075500488281,3.445528984069824,12.921875,1.2566527128219604,6.670348167419434,1.0419808626174927,133.375,15.46900749206543,7.81640625,1.3424510955810547,13.578125,3.1218817234039307,9.1257905960083,1.0785109996795654,34.01041793823242,0.6879227161407471,8.6953125,0.9753959774971008,8.640625,0.6035735011100769,68.0,0.2559930980205536,6.300227642059326,0.9985879063606262,30.609375,0.6568430662155151,39.5553092956543,4.4600934982299805,40.314857482910156,4.570335865020752,133.375,40.314857482910156,0.9985879063606262,0.2559930980205536,15.605877876281738,5.544887542724609,9.15625,1.8072755336761475,6.831503868103027,1.1104611158370972,206.75,27.011592864990234,12.578125,2.007209062576294,14.125,5.508674144744873,40.314857482910156,4.570335865020752,43.020835876464844,0.9398826956748962,10.84375,1.2097587585449219,9.3671875,0.9574114680290222,92.3125,0.2769927978515625,6.610672473907471,1.0046333074569702,38.71875,0.8967059254646301,87.80329132080078,11.098357200622559,88.80121612548828,11.229842185974121,206.75,88.80121612548828,1.0046333074569702,0.2769927978515625,19.121620178222656,8.275481224060059,9.4375,1.176927089691162,8.060870170593262,1.2062420845031738,392.5,49.88878631591797,10.1328125,1.5433732271194458,19.390625,8.298699378967285,88.80121612548828,11.229842185974121,114.16667175292969,1.7481091022491455,24.859375,1.3701199293136597,13.375,0.9462607502937317,214.0,0.36877456307411194,6.845490455627441,1.014406442642212,102.75,1.671909213066101,182.9519500732422,23.554092407226562,186.28094482421875,23.897430419921875,392.5,186.28094482421875,1.014406442642212,0.36877456307411194
3,5.524382335514854,5.522388564453125,7.967122595798446,0.0001,1024.0,0.12390543520450592,1.1584044694900513,0.14062876919454997,0.1303279846906662,4.156069755554199,84375.0,15.81698989868164,4.283237934112549,4.156069755554199,557243904.0,90380288.0,597688320.0,83.0,153.04490836081936,2940.3134336170006,8825.550936169,5883.700624112666,6.0073699951171875,0.4979134202003479,9.453125,0.7606329917907715,4.51350212097168,0.9557657837867737,15.203125,1.27032470703125,4.18359375,0.7177664637565613,5.48046875,0.7648904323577881,4.283237934112549,0.9244023561477661,23.298612594604492,2.3512978553771973,8.5546875,0.9534467458724976,7.66796875,0.6928116083145142,64.875,1.1136605739593506,5.286838531494141,1.047250509262085,20.96875,2.2414960861206055,6.320538520812988,0.9863917827606201,9.11080551147461,1.0452817678451538,64.875,9.11080551147461,1.047250509262085,1.1136605739593506,13.458341598510742,2.778322219848633,13.1953125,1.2665461301803589,6.840066909790039,1.0075050592422485,135.0,12.656354904174805,7.30859375,1.290679931640625,12.484375,2.5868022441864014,9.11080551147461,1.0452817678451538,32.847225189208984,0.8046324253082275,8.6015625,1.1136032342910767,8.5546875,0.6367871761322021,63.84375,0.2903982400894165,6.960161209106445,0.9648758769035339,29.5625,0.7682928442955017,40.206520080566406,3.7234909534454346,41.938289642333984,3.849120855331421,135.0,41.938289642333984,0.9648758769035339,0.2903982400894165,16.650663375854492,4.744088172912598,9.4609375,1.91219961643219,7.609714984893799,1.071518898010254,234.5,25.08816146850586,12.46875,1.962022304534912,15.0234375,4.670134544372559,41.938289642333984,3.849120855331421,48.437503814697266,1.076650857925415,11.6484375,1.2105237245559692,9.640625,0.9019115567207336,106.8125,0.25482532382011414,7.357932090759277,0.9746267795562744,43.59375,1.026199221611023,94.00079345703125,9.906542778015137,95.77813720703125,10.087424278259277,234.5,95.77813720703125,0.9746267795562744,0.25482532382011414,18.927906036376953,8.144801139831543,10.5,1.14933443069458,9.349695205688477,1.2028409242630005,515.5,58.64528274536133,10.03125,1.5131969451904297,19.71875,8.182113647460938,95.77813720703125,10.087424278259277,133.88890075683594,2.0289676189422607,26.359375,1.3045111894607544,15.4921875,0.8556256294250488,300.75,0.34962019324302673,7.63555383682251,0.961182177066803,120.5,1.9380024671554565,213.4601593017578,24.598814010620117,217.90904235839844,25.02174186706543,515.5,217.90904235839844,0.961182177066803,0.34962019324302673
4,5.52366946072131,5.521853548736572,7.966350731277377,0.0001,2048.0,0.10210267454385757,0.722588062286377,0.1145041270854738,0.11130020022392273,4.0222392082214355,112500.0,16.576723098754883,4.158121585845947,4.0222392082214355,557243904.0,91691008.0,597688320.0,81.0,153.12112549961148,2938.8498715100013,11765.212315236,2941.303078809,6.289062976837158,0.49553078413009644,9.2734375,0.8083093762397766,4.426368236541748,0.934918999671936,16.203125,1.2547637224197388,4.3359375,0.7471092343330383,5.66015625,0.7879728078842163,4.158121585845947,0.8966015577316284,20.03472328186035,2.3071014881134033,8.6484375,0.928417444229126,7.66015625,0.6552660465240479,65.1875,1.0398935079574585,5.151388645172119,0.9983879327774048,18.03125,2.199319362640381,6.247463226318359,0.9573260545730591,8.913288116455078,1.0148906707763672,65.1875,8.913288116455078,0.9983879327774048,1.0398935079574585,12.2158784866333,2.4074440002441406,13.4296875,1.3084063529968262,6.66067361831665,0.9848513007164001,136.0,10.978271484375,7.08984375,1.2739996910095215,11.0546875,2.292980194091797,8.913288116455078,1.0148906707763672,29.131946563720703,0.8799919486045837,9.6953125,1.1373251676559448,9.6953125,0.6359544396400452,78.875,0.29540830850601196,7.343140125274658,0.9310990571975708,26.21875,0.8401771783828735,40.19610595703125,3.2801320552825928,41.58011245727539,3.4243392944335938,136.0,41.58011245727539,0.9310990571975708,0.29540830850601196,16.333881378173828,4.042806148529053,10.2265625,1.9629895687103271,7.799221038818359,1.026781678199768,240.5,22.62184715270996,11.7109375,1.8470247983932495,15.171875,3.9859519004821777,41.58011245727539,3.4243392944335938,50.937503814697266,1.2393145561218262,11.765625,1.2024598121643066,9.8359375,0.8662234544754028,108.5,0.2529173195362091,7.697106838226318,0.9472407698631287,45.84375,1.1838414669036865,89.92385864257812,8.878253936767578,91.8757095336914,9.10751724243164,240.5,91.8757095336914,0.9472407698631287,0.2529173195362091,19.23015022277832,7.888399124145508,10.796875,1.1270681619644165,10.124713897705078,1.1872200965881348,668.5,65.40473175048828,9.359375,1.481465220451355,19.265625,7.92596960067749,91.8757095336914,9.10751724243164,173.33334350585938,2.452754020690918,28.671875,1.2543717622756958,16.65625,0.8082495927810669,344.75,0.368991881608963,7.78699254989624,0.9123059511184692,166.25,2.3418054580688477,250.34201049804688,25.305843353271484,257.7638854980469,25.83686065673828,668.5,257.7638854980469,0.9123059511184692,0.368991881608963
5,5.523195107283114,5.521571889343262,7.965944382667429,0.0001,2048.0,0.0739966407418251,0.3858327269554138,0.0880196988805135,0.07299447059631348,3.8836307525634766,140625.0,16.839479446411133,4.022491931915283,3.8836307525634766,557243904.0,89987072.0,597688320.0,81.0,153.14763904193936,2938.341085864,14704.36449627,0.0,6.611386299133301,0.48814040422439575,8.8984375,0.8317188620567322,4.284133434295654,0.9138644933700562,17.953125,1.2142328023910522,4.5546875,0.762697160243988,6.0078125,0.8039584159851074,4.022491931915283,0.8700273036956787,20.27777862548828,2.2381701469421387,8.4140625,0.8914480805397034,7.453125,0.6178263425827026,61.40625,0.9644575119018555,4.929653167724609,0.9482101202011108,18.25,2.1330931186676025,6.212241172790527,0.9278233051300049,8.827438354492188,0.9855149388313293,61.40625,8.827438354492188,0.9482101202011108,0.9644575119018555,10.296229362487793,2.097273349761963,13.515625,1.3372993469238281,6.583250522613525,0.9627957344055176,128.25,9.7118558883667,6.98828125,1.2519303560256958,9.375,2.0659875869750977,8.827438354492188,0.9855149388313293,29.131946563720703,0.924186646938324,9.5703125,1.125707745552063,9.5703125,0.6413471698760986,73.6875,0.29304084181785583,7.80931282043457,0.8990941047668457,26.21875,0.8818855881690979,38.798343658447266,2.9465792179107666,40.821998596191406,3.104046583175659,128.25,40.821998596191406,0.8990941047668457,0.29304084181785583,15.880110740661621,3.488896369934082,11.1171875,1.9724115133285522,8.119806289672852,0.9838353395462036,233.875,20.3056583404541,11.453125,1.7550784349441528,14.7421875,3.4580752849578857,40.821998596191406,3.104046583175659,49.201393127441406,1.220048427581787,11.453125,1.1852788925170898,9.4765625,0.8124117851257324,97.625,0.24626274406909943,8.158064842224121,0.9197455048561096,44.28125,1.164526104927063,87.95935821533203,7.986630439758301,90.15228271484375,8.217206954956055,233.875,90.15228271484375,0.9197455048561096,0.24626274406909943,17.52351188659668,7.642388820648193,11.0078125,1.1240830421447754,10.129446029663086,1.1663850545883179,801.5,71.87710571289062,9.6171875,1.416414737701416,19.21875,7.67340612411499,90.15228271484375,8.217206954956055,262.22222900390625,3.265106678009033,30.109375,1.1937779188156128,17.84375,0.7743173241615295,399.75,0.44191959500312805,7.977518558502197,0.8639162182807922,236.0,3.120710611343384,282.21441650390625,26.028751373291016,292.1970520019531,26.753572463989258,801.5,292.1970520019531,0.8639162182807922,0.44191959500312805
