feature,importance,model,profile,split_count
extension=.dart,0.0004816955684007707,extra_trees,fastest,1
extension=.pdf,0.0004816955684007707,extra_trees,fastest,1
extension=.yaml,0.0004816955684007707,extra_trees,fastest,1
extension=.jar,0.0004816955684007707,extra_trees,fastest,1
extension=.cc,0.0004816955684007707,extra_trees,fastest,1
magic_signature_category=gzip,0.0004816955684007707,extra_trees,fastest,1
extension=.properties,0.0004816955684007707,extra_trees,fastest,1
log2_file_size,0.052002390914524806,random_forest,balanced,87
file_size,0.049013747758517634,random_forest,balanced,82
byte_entropy,0.04722056186491333,random_forest,balanced,79
sample_size,0.045427375971309025,random_forest,balanced,76
first_order_delta_entropy,0.04064554692169755,random_forest,balanced,68
run_count,0.03825463239689181,random_forest,balanced,64
repeated_ngram_ratio,0.03705917513448894,random_forest,balanced,62
estimated_lz_match_ratio,0.03347280334728033,random_forest,balanced,56
digit_ratio,0.032277346084877465,random_forest,balanced,54
repetition_score,0.031679617453676034,random_forest,balanced,53
ascii_ratio,0.031679617453676034,random_forest,balanced,53
entropy_gradient,0.029288702928870293,random_forest,balanced,49
longest_run,0.02869097429766886,random_forest,balanced,48
byte_frequency_std,0.028093245666467422,random_forest,balanced,47
local_entropy_mean,0.02749551703526599,random_forest,balanced,46
lz_match_estimate,0.026897788404064555,random_forest,balanced,45
newline_ratio,0.02630005977286312,random_forest,balanced,44
numeric_array_score,0.02510460251046025,random_forest,balanced,42
max_byte_frequency,0.024506873879258817,random_forest,balanced,41
whitespace_ratio,0.023311416616855946,random_forest,balanced,39
run_length_score,0.023311416616855946,random_forest,balanced,39
mean_run_length,0.022713687985654513,random_forest,balanced,38
unique_byte_count,0.021518230723251645,random_forest,balanced,36
numeric_data_score,0.021518230723251645,random_forest,balanced,36
printable_ratio,0.020322773460848775,random_forest,balanced,34
local_entropy_std,0.01972504482964734,random_forest,balanced,33
source_code_like_score,0.01852958756724447,random_forest,balanced,31
structured_text_score,0.014943215780035863,random_forest,balanced,25
zero_ratio,0.011356843992827256,random_forest,balanced,19
json_like_score,0.008965929468021518,random_forest,balanced,15
mime_category=application,0.008368200836820083,random_forest,balanced,14
csv_like_score,0.00657501494321578,random_forest,balanced,11
