mean_compression_time_regret,mean_decompression_time_regret,mean_inference_ms,mean_regret,mean_size_regret,median_regret,model,model_bytes,p95_regret,profile,samples,selected,split,top_1_accuracy,top_2_recall,top_3_recall
0.005536973077724747,-8.043333395900659e-05,0.11281794883334675,0.008066027461751642,0.008741743376830776,0.0,decision_tree,32473,0.054945833898037234,smallest,156,,validation,0.6987179487179487,0.8141025641025641,0.8717948717948718
0.02666772243658973,-0.0001396250006039806,0.4986096151137295,0.008494401438331219,0.004453256517917605,0.0,random_forest,834730,0.05653798361616029,smallest,156,,validation,0.7051282051282052,0.8910256410256411,0.9743589743589743
0.013300958333741456,-0.00013207756488461597,0.47835128199762833,0.008223390892567925,0.005196464011489699,0.0,extra_trees,823169,0.05653798361616029,smallest,156,,validation,0.7115384615384616,0.8141025641025641,0.9358974358974359
0.024939018590558613,-0.00015976089772989208,6.166955769843368,0.01245652739941599,0.01735643616147081,0.0,gradient_boosting,45255,0.08607933798296309,smallest,156,,validation,0.6346153846153846,0.7564102564102564,0.8589743589743589
0.024939018590558613,-0.00015976089772989208,8.977918590132434,0.01245652739941599,0.01735643616147081,0.0,histogram_gradient_boosting,67554,0.08607933798296309,smallest,156,,validation,0.6346153846153846,0.7564102564102564,0.8589743589743589
0.02509800322539729,2.4425809369272283e-06,0.11046193530707951,0.006509307840358182,0.08923498898074247,0.0,decision_tree,39437,0.04229700390803178,smallest,155,True,test,0.6967741935483871,0.8064516129032258,0.8774193548387097
-0.00012672115479243727,-3.0512856961323473e-07,0.114828205439083,0.002990365294858028,0.016414809984424784,0.0003061497391514353,decision_tree,24497,0.01692965502083489,fastest,156,,validation,0.44871794871794873,0.5769230769230769,0.6858974358974359
-0.00012692307744799062,-3.8717982347290484e-07,0.49878141101381074,0.002228912792805665,0.011153861341143559,0.00019461667668599358,random_forest,607546,0.010760425387978488,fastest,156,,validation,0.47435897435897434,0.6730769230769231,0.8269230769230769
-0.00011243910296635034,-2.1794944470270703e-08,0.4424339738481929,0.0020123972437224415,0.0076536433971196765,1.4863306982431171e-05,extra_trees,589868,0.00855885695952557,fastest,156,,validation,0.5,0.6794871794871795,0.7692307692307693
-0.0001295166670714911,8.698714223917192e-07,3.9627397431430813,0.0027720583373810185,0.006847593255780295,0.0003061497391514353,gradient_boosting,29021,0.016853049720917952,fastest,156,,validation,0.42948717948717946,0.6025641025641025,0.7115384615384616
-0.0001295166670714911,8.698714223917192e-07,5.9669794868685315,0.0027720583373810185,0.006847593255780295,0.0003061497391514353,histogram_gradient_boosting,43303,0.016853049720917952,fastest,156,,validation,0.42948717948717946,0.6025641025641025,0.7115384615384616
-0.00010628129004485785,3.974580632207254e-05,0.44569999980364716,0.0010609787352493876,-0.007292990941086255,0.0,extra_trees,625590,0.00529675094619078,fastest,155,True,test,0.5806451612903226,0.7677419354838709,0.8580645161290322
7.190640985171717e-05,8.617307451995424e-06,0.07766538468646243,0.004578570153914721,0.006828391639803079,0.0,decision_tree,23706,0.02705665365509067,balanced,156,,validation,0.6538461538461539,0.75,0.8397435897435898
9.98269155015572e-06,3.576282044657721e-06,0.43907564115495634,0.002894681516443153,0.006767553784829273,0.0,random_forest,583838,0.01930515054267066,balanced,156,,validation,0.6794871794871795,0.8653846153846154,0.9166666666666666
-3.191346229122689e-05,5.316025449130207e-06,0.48032564014787427,0.003092880038630575,0.008788787126357956,0.0,extra_trees,566982,0.02185149715015678,balanced,156,,validation,0.6602564102564102,0.8589743589743589,0.9487179487179487
0.00043600320490301016,3.079038390588278e-05,5.14001346154822,0.011724581815630028,0.014608559221744435,0.00076823491018271,gradient_boosting,36949,0.058257196027024595,balanced,156,,validation,0.4807692307692308,0.6474358974358975,0.7884615384615384
0.00043600320490301016,3.079038390588278e-05,7.323763461056679,0.011724581815630028,0.014608559221744435,0.00076823491018271,histogram_gradient_boosting,55194,0.058257196027024595,balanced,156,,validation,0.4807692307692308,0.6474358974358975,0.7884615384615384
1.7877419445393306e-05,3.920516108102616e-05,0.4201961293508629,0.002877597824493725,0.006494368272651685,0.0,random_forest,618984,0.016369732466471873,balanced,155,True,test,0.7225806451612903,0.8580645161290322,0.9354838709677419
