XAIC_chunk_metadata_bytes,XAIC_header_bytes,candidate_generation_ms,category,checksum_bytes,chunk_framing_bytes,chunks,codec_compression_ms,codec_distribution,codec_payload_bytes,container_penalty_bytes,container_serialization_ms,decompression_ms,feature_scan_ms,final_artifact_bytes,footer_bytes,metadata_overhead_percent,microbenchmark_ms,original_bytes,raw_payload_bytes,sample_id,selector_inference_ms,sha_pass,total_compression_ms,total_metadata_bytes,transform_distribution,transform_ms,unattributed_container_io_ms
354,264,49.23710000002757,text,128,92,1,0.37099998735357076,"{""brotli"": 1}",60,762,0.12770001194439828,17.472200008342043,33.141199994133785,822,52,92.7007299270073,27.27920000324957,4096,4096,text_4KiB,2.0997000101488084,True,124.54530000104569,762,"{""identity"": 1}",0.0049000082071870565,12.284499985980801
360,267,4.487700003664941,random,128,92,1,0.0032999960239976645,"{""raw"": 1}",65536,771,0.24259999918285757,25.08300000044983,98.75819999433588,66307,52,1.1627731612046994,16.282199998386204,65536,65536,random_64KiB,1.5342999977292493,True,133.7128000013763,771,"{""identity"": 1}",0.0023000029614195228,12.402200009091757
366,271,4.458600000361912,scientific,128,92,1,2.601999993203208,"{""deflate"": 1}",1039,781,3.2346000079996884,221.4793000021018,93.55439999490045,1820,52,42.91208791208791,21.059799997601658,1048576,1048576,numeric_1MiB,1.565599988680333,True,393.05030000105035,781,"{""delta"": 1}",241.91549999522977,24.65980002307333
3533,272,4.962100007105619,json,704,920,10,25.577200009138323,"{""brotli"": 9, ""raw"": 1}",1049493,4777,30.84020000824239,120.17899999045767,906.8627999949967,1054270,52,0.45310973469794263,10.786700004246086,10485760,10485760,structured_10MiB,15.756000007968396,True,1047.0074000040768,4777,"{""identity"": 10}",0.018499995348975062,52.20389997703023
35304,273,8.67219986685086,repetitive,6464,9200,100,484.30219999863766,"{""brotli"": 100}",8944,44829,488.72870013292413,1577.893599998788,13339.200399961555,53773,52,83.36711732653934,666.0999000159791,104857600,104857600,repetitive_100MiB,248.25400003464893,True,15859.02650000935,44829,"{""identity"": 100}",0.32969986204989254,623.4394001367036
