category,codec_compression_ms,compression_time,decompression_time,feature_scan_ms,microbenchmark_ms,model_inference_ms,peak_RSS_MB,profile,sample_id
text,68.68949999625329,0.12631530000362545,0.0373360999947181,37.31290000723675,19.751100000576116,0.5617999995592982,203.0,fastest,text_4KiB
text,69.07500000670552,0.12817609999910928,0.028490299999248236,30.954699992435053,26.034700000309385,2.111699999659322,211.8125,balanced,text_4KiB
text,62.43109998467844,0.11640480000642128,0.023500099996454082,28.151400008937344,23.358600010396913,2.4637000024085864,203.05078125,smallest,text_4KiB
random,67.07699999969918,0.2625636000011582,0.02906970000185538,134.7241000039503,60.22679999296088,0.5357000045478344,220.78515625,fastest,random_64KiB
random,72.4939999927301,0.2574380000005476,0.051775500003714114,144.73260000522714,37.99680000520311,2.2145999973872676,213.0078125,balanced,random_64KiB
random,69.2745999986073,0.25919720000820234,0.03924100000585895,126.84430000081193,60.62200000451412,2.4563000042689964,212.84765625,smallest,random_64KiB
scientific,143.6812000029022,0.2961815000016941,0.07003020000411198,110.04020000109449,41.98779999569524,0.47230000200215727,205.46484375,fastest,numeric_1MiB
scientific,298.4774000069592,0.47501959999499377,0.17286360000434797,131.1310000019148,43.215999990934506,2.1951999951852486,207.28125,balanced,numeric_1MiB
scientific,303.98320000676904,0.4892847000010079,0.16419400001177564,143.2572999910917,39.532000009785406,2.512199993361719,207.5625,smallest,numeric_1MiB
json,206.8812999932561,1.1932835999905365,0.19730290000734385,959.6723000140628,23.07810001366306,3.6518999695545062,206.63671875,fastest,structured_10MiB
json,167.38600003009196,1.1377097999938997,0.14529210000182502,922.9262999579078,30.220700005884282,17.176800000015646,208.51953125,balanced,structured_10MiB
repetitive,946.4791999926092,10.454485299997032,0.8970250999991549,9365.983699972276,97.30409996700473,44.7183000651421,206.765625,fastest,repetitive_100MiB
repetitive,1210.0483999965945,11.121944500002428,1.0742135000036797,9223.443899987615,510.37629999336787,178.07590002485085,213.78515625,balanced,repetitive_100MiB
repetitive,1158.3114998938981,10.969324399993639,1.063392699987162,9488.923900033114,126.80490003549494,195.28410003113095,208.36328125,smallest,repetitive_100MiB
