SHA_PASS,actual_bpb,category,chunks,codec_compression_ms,codec_distribution,compressed_size,compression_MB_s,compression_ratio,compression_time,decompression_MB_s,decompression_time,error,feature_scan_ms,method,microbenchmark_ms,model_inference_ms,original_size,peak_RSS_MB,profile,sample_id,selection_overhead_ms,selector_mode,sha256,size,status,transform_distribution
True,1.607421875,text,1,68.68949999625329,"{""zstd"": 1}",823,0.030924598998600204,4.976913730255164,0.12631530000362545,0.10462394306187882,0.0373360999947181,,37.31290000723675,hybrid-ai,19.751100000576116,0.5617999995592982,4096,203.0,fastest,text_4KiB,57.62580000737216,ai-benchmark,6c6ff8a1e38b9cf8354baaf600185011edb5f207e1c3b1afe3c5b4c87dd7f7b5,4096,PASS,"{""identity"": 1}"
True,1.60546875,text,1,69.07500000670552,"{""brotli"": 1}",822,0.03047565029695197,4.982968369829684,0.12817609999910928,0.13710806836372635,0.028490299999248236,,30.954699992435053,hybrid-ai,26.034700000309385,2.111699999659322,4096,211.8125,balanced,text_4KiB,59.10109999240376,ai-benchmark,6c6ff8a1e38b9cf8354baaf600185011edb5f207e1c3b1afe3c5b4c87dd7f7b5,4096,PASS,"{""identity"": 1}"
True,1.607421875,text,1,62.43109998467844,"{""brotli"": 1}",823,0.033557464982410676,4.976913730255164,0.11640480000642128,0.16622269694977518,0.023500099996454082,,28.151400008937344,hybrid-ai,23.358600010396913,2.4637000024085864,4096,203.05078125,smallest,text_4KiB,53.97370002174284,ai-benchmark,6c6ff8a1e38b9cf8354baaf600185011edb5f207e1c3b1afe3c5b4c87dd7f7b5,4096,PASS,"{""identity"": 1}"
True,8.09375,random,1,67.07699999969918,"{""raw"": 1}",66304,0.23803756499272674,0.9884169884169884,0.2625636000011582,2.1500049878743477,0.02906970000185538,,134.7241000039503,hybrid-ai,60.22679999296088,0.5357000045478344,65536,220.78515625,fastest,random_64KiB,195.486600001459,ai-benchmark,fccda630e3937e2ccd445beaccbb4e93af75cad811621cd687b8e22fdd562fea,65536,PASS,"{""identity"": 1}"
True,8.0941162109375,random,1,72.4939999927301,"{""raw"": 1}",66307,0.2427769016223986,0.988372268387953,0.2574380000005476,1.2071346485406527,0.051775500003714114,,144.73260000522714,hybrid-ai,37.99680000520311,2.2145999973872676,65536,213.0078125,balanced,random_64KiB,184.94400000781752,ai-benchmark,fccda630e3937e2ccd445beaccbb4e93af75cad811621cd687b8e22fdd562fea,65536,PASS,"{""identity"": 1}"
True,8.0941162109375,random,1,69.2745999986073,"{""raw"": 1}",66307,0.241129147992425,0.988372268387953,0.25919720000820234,1.5927218977770272,0.03924100000585895,,126.84430000081193,hybrid-ai,60.62200000451412,2.4563000042689964,65536,212.84765625,smallest,random_64KiB,189.92260000959504,ai-benchmark,fccda630e3937e2ccd445beaccbb4e93af75cad811621cd687b8e22fdd562fea,65536,PASS,"{""identity"": 1}"
True,8.005905151367188,scientific,1,143.6812000029022,"{""raw"": 1}",1049350,3.376308108353426,0.9992624005336637,0.2961815000016941,14.279553677431776,0.07003020000411198,,110.04020000109449,hybrid-ai,41.98779999569524,0.47230000200215727,1048576,205.46484375,fastest,numeric_1MiB,152.5002999987919,ai-benchmark,fbbab289f7f94b25736c58be46a994c441fd02552cc6022352e3d86d2fab7c83,1048576,PASS,"{""identity"": 1}"
True,0.01389312744140625,scientific,1,298.4774000069592,"{""deflate"": 1}",1821,2.1051762916952037,575.8242723778144,0.47501959999499377,5.7849078694117635,0.17286360000434797,,131.1310000019148,hybrid-ai,43.215999990934506,2.1951999951852486,1048576,207.28125,balanced,numeric_1MiB,176.54219998803455,ai-benchmark,fbbab289f7f94b25736c58be46a994c441fd02552cc6022352e3d86d2fab7c83,1048576,PASS,"{""delta"": 1}"
True,0.013885498046875,scientific,1,303.98320000676904,"{""deflate"": 1}",1820,2.043799857215932,576.1406593406593,0.4892847000010079,6.090356529034448,0.16419400001177564,,143.2572999910917,hybrid-ai,39.532000009785406,2.512199993361719,1048576,207.5625,smallest,numeric_1MiB,185.30149999423884,ai-benchmark,fbbab289f7f94b25736c58be46a994c441fd02552cc6022352e3d86d2fab7c83,1048576,PASS,"{""delta"": 1}"
True,0.004839324951171875,json,10,206.8812999932561,"{""zstd"": 10}",6343,8.380237522814616,1653.1231278574808,1.1932835999905365,50.68349223264224,0.19730290000734385,,959.6723000140628,hybrid-ai,23.07810001366306,3.6518999695545062,10485760,206.63671875,fastest,structured_10MiB,986.4022999972804,ai-benchmark,12771b801fde1fcbf9f3643539add874ada85856df048781cfd006cc489c2157,10485760,PASS,"{""identity"": 10}"
True,0.004421234130859375,json,10,167.38600003009196,"{""brotli"": 10}",5795,8.789587643574503,1809.4495254529768,1.1377097999938997,68.82686670420752,0.14529210000182502,,922.9262999579078,hybrid-ai,30.220700005884282,17.176800000015646,10485760,208.51953125,balanced,structured_10MiB,970.3237999638077,ai-benchmark,12771b801fde1fcbf9f3643539add874ada85856df048781cfd006cc489c2157,10485760,PASS,"{""identity"": 10}"
