SHA_PASS,actual_bpb,category,compressed_bytes,compression_ms,decompression_ms,oracle_strategy,original_bytes,profile,reason,size_bucket,source,source_id,status,strategies_measured
True,3.866589057043073,executable,16607,205.66130000224803,390.51489999110345,brotli|6|identity,34360,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\Microsoft.Extensions.AmbientMetadata.Application.dll,8532a7e7c38dfc36aa1a,PASS,26
True,2.524190894130554,image,2876,192.38219999533612,102.48660000797827,brotli|11|identity,9115,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,2.6865606143719143,image,3061,22.002899990184233,70.05049999861512,deflate|6|identity,9115,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,2.6865606143719143,image,3061,22.002899990184233,70.05049999861512,deflate|6|identity,9115,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\01_codec_bpb.png,b431de9bd8324ec90c36,PASS,26
True,3.002144388849178,image,3675,85.04160000302363,118.3413999970071,lzma2|6|identity,9793,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,3.0903706729296436,image,3783,29.225200007203966,48.29759999120142,zstd|6|identity,9793,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,3.0903706729296436,image,3783,29.225200007203966,48.29759999120142,zstd|6|identity,9793,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\hybrid_ai\figures\04_decompression_speed.png,801658a38cf0cafec5ef,PASS,26
True,256.0,json,64,50.65049999393523,30.616199990618043,raw|default|identity,2,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\benchmark_results.json,b2d26822f2e8d5499ddf,PASS,27
True,288.0,json,72,19.448999999440275,83.04199999838602,deflate|6|delta,2,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\benchmark_results.json,b2d26822f2e8d5499ddf,PASS,27
True,272.0,json,68,21.555700004682876,96.78249999706168,brotli|6|identity,2,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\results\benchmark_results.json,b2d26822f2e8d5499ddf,PASS,27
True,24.0,json,93,27.79569999256637,27.202600002055988,raw|default|identity,31,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\static\webpack\1cde06a0bb489b45.webpack.hot-update.json,215155f5831d7da605e0,PASS,27
True,24.0,json,93,27.79569999256637,27.202600002055988,raw|default|identity,31,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\static\webpack\1cde06a0bb489b45.webpack.hot-update.json,215155f5831d7da605e0,PASS,27
True,24.0,json,93,27.79569999256637,27.202600002055988,raw|default|identity,31,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\static\webpack\1cde06a0bb489b45.webpack.hot-update.json,215155f5831d7da605e0,PASS,27
True,0.7093220727957038,json,7727,94.56639998825267,106.30260000471026,bzip2|9|identity,87148,smallest,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\obj\project.assets.json,d27dc1d6d4717d80c545,PASS,26
True,1.0522788819020517,json,11463,45.799300001817755,63.28239999129437,lzma2|3|byte-shuffle,87148,fastest,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\obj\project.assets.json,d27dc1d6d4717d80c545,PASS,26
True,0.8021297103777482,json,8738,28.67050000349991,82.63849999639206,deflate|6|identity,87148,balanced,,64KiB_1MiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\obj\project.assets.json,d27dc1d6d4717d80c545,PASS,26
True,43.42857142857143,logs,76,14.325299998745322,18.135699996491894,raw|default|identity,14,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,83006c8d53bccd432146,PASS,27
True,43.42857142857143,logs,76,14.325299998745322,18.135699996491894,raw|default|identity,14,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,83006c8d53bccd432146,PASS,27
True,43.42857142857143,logs,76,14.325299998745322,18.135699996491894,raw|default|identity,14,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,83006c8d53bccd432146,PASS,27
True,1.701100461483848,logs,599,162.86730000865646,135.76560000365134,brotli|11|identity,2817,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\phase_g_run.log,cd260a4c13627b0f1896,PASS,27
