SHA_PASS,actual_bpb,candidate_generation_ms,category,chunks,compressed_bytes,compression_MiB_s,compression_ms,decompression_MiB_s,decompression_ms,feature_scan_ms,inference_ms,metadata_bytes,metadata_percent,method,microbenchmark_ms,oracle_bytes,oracle_gap_percent,oracle_strategy,original_bytes,peak_RSS_MB,plan_mode,ratio,routing_mode,selected_strategy,selection_ms,selector_confidence,size_bucket,source,source_id,status
True,8.055082337596003,,archive,,10952429,50.42907979031916,205.7071999879554,51.34113295268902,202.0528999855742,62.988300138385966,0.0,74895,0.6838209131508636,E_confidence_adaptive,0.0,,,,10877534,205.5390625,,0.9931617908684913,,"{""raw|default|identity"": 166}",,,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
True,8.001631987544236,0.0,archive,166,10879753,74.2336979166657,139.74280000547878,165.00643889241468,62.868000008165836,49.70229999162257,0.0,2219,0.02039568361524384,F_compact_xaic,0.0,,,,10877534,205.58203125,requested_chunking,0.9997960431638475,confidence,"[""raw|default|identity""]",84.67690000543371,1.0,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
True,8.000080165228626,0.0,archive,3,10877643,25.843171569933816,401.4067999960389,116.97276963512515,88.68410001741722,0.012600008631125093,0.0,109,0.0010020553165791524,G_compact_adaptive,0.0,,,,10877534,215.76953125,homogeneous_chunks,0.9999899794468342,confidence,"[""raw|default|identity""]",1.3999999791849405,1.0,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
True,8.000080165228626,0.0,archive,3,10877643,5.381856811689598,1927.5178000098094,9.790452577742748,1059.5653999916976,14.217700008885004,0.0,109,0.0010020553165791524,H_full_v2,0.0,N/A,N/A,N/A,10877534,327.125,homogeneous_chunks,0.9999899794468342,confidence,"[""raw|default|identity""]",101.52119999111164,1.0,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\server-development\0.pack.gz,ab9fd50e606430ff1ad4,PASS
True,8.16326530612245,,binary,,50,0.0010323293888471264,45.26659999100957,0.12691483465810963,0.3681999951368198,,,,,A_fixed_best,,,,,49,327.125,,0.98,,brotli-11,,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,133.71428571428572,257.10350000008475,binary,,819,7.831314589546023e-05,596.7074999934994,0.0001036789728761617,450.7185999973444,17.489299993030727,109.99989999982063,770,94.01709401709402,B_hybrid_v1,81.66690000507515,,,,49,327.125,,0.05982905982905983,,"{""raw"": 1}",209.1560999979265,N/A,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,128.6530612244898,,binary,,788,0.022415715392876026,2.084699983242899,0.0023461800677859225,19.917500001611188,0.006299989763647318,0.0,739,93.78172588832487,C_ai_only,0.0,,,,49,215.76953125,,0.06218274111675127,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,128.6530612244898,,binary,,788,0.016374672952868347,2.8537999896798283,0.0020679754639189155,22.596999973757192,0.008000002708286047,0.0,739,93.78172588832487,D_ai_top2,0.0,,,,49,215.76953125,,0.06218274111675127,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,130.6122448979592,,binary,,800,0.021941046746630277,2.129800006514415,0.0034674176928735003,13.476899999659508,0.006099988240748644,0.0,751,93.875,E_confidence_adaptive,0.0,,,,49,215.76953125,,0.06125,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,18.448979591836736,0.0,binary,1,113,0.010005790106213185,4.670299997087568,0.002042682607965128,22.876800008816645,0.0048000074457377195,0.0,64,56.63716814159292,F_compact_xaic,0.0,,,,49,215.76953125,requested_chunking,0.4336283185840708,confidence,"[""raw|default|identity""]",0.47759999870322645,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
