epoch,train_cross_entropy,val_cross_entropy,val_bpb_estimate,learning_rate,grad_scaler_scale,gradient_norm,gradient_norm_epoch_max,gradient_norm_epoch_mean,gradient_abs_max,parameter_abs_max,optimizer_state_abs_max,logits_abs_max,embedding_activation_abs_max,embedding_parameter_abs_max,vram_max_bytes,vram_allocated_bytes,vram_reserved_bytes,gpu_utilization_percent,samples_per_second,epoch_seconds,elapsed_seconds,eta_seconds,block_0_attention_context_abs_max,block_0_attention_context_rms,block_0_attention_k_abs_max,block_0_attention_k_rms,block_0_attention_normalized_input_abs_max,block_0_attention_normalized_input_rms,block_0_attention_output_abs_max,block_0_attention_output_rms,block_0_attention_q_abs_max,block_0_attention_q_rms,block_0_attention_v_abs_max,block_0_attention_v_rms,block_0_block_input_abs_max,block_0_block_input_rms,block_0_ffn_dropout_abs_max,block_0_ffn_dropout_rms,block_0_ffn_first_projection_abs_max,block_0_ffn_first_projection_rms,block_0_ffn_gate_activation_abs_max,block_0_ffn_gate_activation_rms,block_0_ffn_gated_product_abs_max,block_0_ffn_gated_product_rms,block_0_ffn_normalized_input_abs_max,block_0_ffn_normalized_input_rms,block_0_ffn_output_abs_max,block_0_ffn_output_rms,block_0_residual_attention_abs_max,block_0_residual_attention_rms,block_0_residual_ffn_abs_max,block_0_residual_ffn_rms,block_0_activation_abs_max,max_activation_layer_0,block_0_ffn_input_rms,block_0_ffn_hidden_rms,block_1_attention_context_abs_max,block_1_attention_context_rms,block_1_attention_k_abs_max,block_1_attention_k_rms,block_1_attention_normalized_input_abs_max,block_1_attention_normalized_input_rms,block_1_attention_output_abs_max,block_1_attention_output_rms,block_1_attention_q_abs_max,block_1_attention_q_rms,block_1_attention_v_abs_max,block_1_attention_v_rms,block_1_block_input_abs_max,block_1_block_input_rms,block_1_ffn_dropout_abs_max,block_1_ffn_dropout_rms,block_1_ffn_first_projection_abs_max,block_1_ffn_first_projection_rms,block_1_ffn_gate_activation_abs_max,block_1_ffn_gate_activation_rms,block_1_ffn_gated_product_abs_max,block_1_ffn_gated_product_rms,block_1_ffn_normalized_input_abs_max,block_1_ffn_normalized_input_rms,block_1_ffn_output_abs_max,block_1_ffn_output_rms,block_1_residual_attention_abs_max,block_1_residual_attention_rms,block_1_residual_ffn_abs_max,block_1_residual_ffn_rms,block_1_activation_abs_max,max_activation_layer_1,block_1_ffn_input_rms,block_1_ffn_hidden_rms,block_2_attention_context_abs_max,block_2_attention_context_rms,block_2_attention_k_abs_max,block_2_attention_k_rms,block_2_attention_normalized_input_abs_max,block_2_attention_normalized_input_rms,block_2_attention_output_abs_max,block_2_attention_output_rms,block_2_attention_q_abs_max,block_2_attention_q_rms,block_2_attention_v_abs_max,block_2_attention_v_rms,block_2_block_input_abs_max,block_2_block_input_rms,block_2_ffn_dropout_abs_max,block_2_ffn_dropout_rms,block_2_ffn_first_projection_abs_max,block_2_ffn_first_projection_rms,block_2_ffn_gate_activation_abs_max,block_2_ffn_gate_activation_rms,block_2_ffn_gated_product_abs_max,block_2_ffn_gated_product_rms,block_2_ffn_normalized_input_abs_max,block_2_ffn_normalized_input_rms,block_2_ffn_output_abs_max,block_2_ffn_output_rms,block_2_residual_attention_abs_max,block_2_residual_attention_rms,block_2_residual_ffn_abs_max,block_2_residual_ffn_rms,block_2_activation_abs_max,max_activation_layer_2,block_2_ffn_input_rms,block_2_ffn_hidden_rms,block_3_attention_context_abs_max,block_3_attention_context_rms,block_3_attention_k_abs_max,block_3_attention_k_rms,block_3_attention_normalized_input_abs_max,block_3_attention_normalized_input_rms,block_3_attention_output_abs_max,block_3_attention_output_rms,block_3_attention_q_abs_max,block_3_attention_q_rms,block_3_attention_v_abs_max,block_3_attention_v_rms,block_3_block_input_abs_max,block_3_block_input_rms,block_3_ffn_dropout_abs_max,block_3_ffn_dropout_rms,block_3_ffn_first_projection_abs_max,block_3_ffn_first_projection_rms,block_3_ffn_gate_activation_abs_max,block_3_ffn_gate_activation_rms,block_3_ffn_gated_product_abs_max,block_3_ffn_gated_product_rms,block_3_ffn_normalized_input_abs_max,block_3_ffn_normalized_input_rms,block_3_ffn_output_abs_max,block_3_ffn_output_rms,block_3_residual_attention_abs_max,block_3_residual_attention_rms,block_3_residual_ffn_abs_max,block_3_residual_ffn_rms,block_3_activation_abs_max,max_activation_layer_3,block_3_ffn_input_rms,block_3_ffn_hidden_rms
1,5.529087814806046,5.5245643226623535,7.970261551377073,0.0002,4096.0,0.11312682181596756,0.8989782929420471,0.16702103022972742,0.1475830078125,4.317584991455078,28125.0,13.6953125,4.594050884246826,4.317584991455078,582530560.0,89190400.0,639631360.0,81.0,162.46315431160116,2769.858814491,2769.85921622,11079.43686488,6.520844459533691,0.5558182597160339,9.1875,0.6910250186920166,4.763028144836426,0.9786399006843567,16.140625,1.2239601612091064,9.6015625,0.6870108246803284,5.87109375,0.7200412154197693,4.594050884246826,0.9705357551574707,40.520835876464844,1.6420589685440063,9.6171875,0.8629040122032166,9.578125,0.5561155080795288,91.375,0.8005746006965637,5.215449810028076,1.0307046175003052,36.46875,1.566407561302185,7.800932884216309,1.0761510133743286,16.678691864013672,1.2293341159820557,91.375,16.678691864013672,1.0307046175003052,0.8005746006965637,11.432291984558105,2.222184658050537,10.6640625,1.2201414108276367,6.698475360870361,1.0113813877105713,91.875,8.149481773376465,7.80078125,1.1530215740203857,10.2890625,2.0369713306427,16.678691864013672,1.2293341159820557,59.062503814697266,1.0014935731887817,8.6015625,0.8297713398933411,8.6015625,0.468212753534317,65.0,0.360845148563385,6.858930587768555,0.9730365872383118,53.15625,0.9571843147277832,42.97159194946289,3.622817039489746,44.72861862182617,3.8638713359832764,91.875,44.72861862182617,0.9730365872383118,0.360845148563385,14.535492897033691,5.293136119842529,11.5859375,1.6568552255630493,7.813581466674805,1.0890816450119019,354.0,28.892236709594727,12.1875,1.6665276288986206,13.21875,5.292544841766357,44.72861862182617,3.8638713359832764,115.62500762939453,1.0226293802261353,14.1640625,1.0105030536651611,10.8046875,0.6850257515907288,74.125,0.36221012473106384,7.8570098876953125,0.9957152009010315,104.0625,0.9757609367370605,152.80650329589844,13.604516983032227,154.6878204345703,13.79936695098877,354.0,154.6878204345703,0.9957152009010315,0.36221012473106384,17.29503631591797,6.351694107055664,11.9140625,1.3998757600784302,9.146921157836914,1.1568470001220703,467.75,39.99594497680664,11.0390625,1.6921790838241577,16.296875,6.350354194641113,154.6878204345703,13.79936695098877,124.25,1.7740607261657715,17.8125,0.9899323582649231,16.625,0.6823376417160034,202.375,0.4472867548465729,7.246974468231201,0.9768073558807373,124.25,1.6962482929229736,304.738037109375,27.734161376953125,311.14617919921875,28.238637924194336,467.75,311.14617919921875,0.9768073558807373,0.4472867548465729
2,5.524761270107016,5.523644019927978,7.968933835186073,0.0002,32768.0,0.029506556689739227,1.017478108406067,0.07557500811696052,0.070068359375,4.1232075691223145,56250.0,16.03125,4.324569225311279,4.1232075691223145,582530560.0,91691008.0,639631360.0,83.0,162.26173793737178,2773.297055241,5543.677181211,8315.5157718165,7.426009178161621,0.5213227272033691,9.1171875,0.7770615816116333,4.399926662445068,0.9040119051933289,33.34375,1.581595778465271,8.2890625,0.7588732242584229,6.68359375,0.8399210572242737,4.324569225311279,0.913250207901001,74.5138931274414,1.8102096319198608,8.921875,1.0546108484268188,8.921875,0.41464725136756897,78.0,0.7047299742698669,5.7310991287231445,0.9349371790885925,67.0625,1.7253352403640747,13.472885131835938,1.0821455717086792,27.94343376159668,1.2645074129104614,78.0,27.94343376159668,0.9349371790885925,0.7047299742698669,9.534592628479004,1.5191677808761597,10.3828125,1.304062008857727,7.588862419128418,0.9255702495574951,80.5625,5.808981418609619,7.5625,1.1311472654342651,8.84375,1.5712047815322876,27.94343376159668,1.2645074129104614,82.29167175292969,1.1025549173355103,10.0546875,1.0612162351608276,9.5625,0.4526854455471039,93.6875,0.3089056611061096,8.02395248413086,0.8910470008850098,74.0625,1.0530160665512085,39.43370056152344,2.8688318729400635,40.573177337646484,3.1006853580474854,93.6875,40.573177337646484,0.8910470008850098,0.3089056611061096,14.308514595031738,4.871753692626953,16.203125,2.0914080142974854,9.382568359375,1.0327839851379395,516.5,38.888465881347656,10.90625,1.8514961004257202,13.1953125,4.825512886047363,40.573177337646484,3.1006853580474854,146.80555725097656,1.5286332368850708,14.078125,0.987188458442688,10.8515625,0.6265465617179871,121.5,0.2739693522453308,8.876009941101074,0.9337713718414307,132.125,1.463390588760376,208.49131774902344,16.4681453704834,213.09487915039062,16.859189987182617,516.5,213.09487915039062,0.9337713718414307,0.2739693522453308,17.816537857055664,6.113677501678467,15.3046875,1.2242599725723267,10.69019889831543,1.1381524801254272,759.5,58.112117767333984,11.671875,1.5079851150512695,17.171875,6.129161357879639,213.09487915039062,16.859189987182617,230.4166717529297,4.404233932495117,23.625,1.0984183549880981,17.859375,0.704808235168457,263.5,0.5343983173370361,8.76810359954834,0.8744704127311707,207.375,4.241916179656982,461.642822265625,37.23800277709961,484.5755310058594,38.551795959472656,759.5,484.5755310058594,0.8744704127311707,0.5343983173370361
3,5.523788376929684,5.522937228698731,7.967914150984694,0.0002,262144.0,0.016162803396582603,0.3523256778717041,0.020798533939520518,0.04205322265625,3.9748008251190186,84375.0,16.84375,4.125473499298096,3.9748008251190186,582540800.0,89069568.0,639631360.0,78.0,164.21399328590533,2740.326758978,8284.52805823,5523.0187054866665,7.829293251037598,0.6086060404777527,8.4921875,0.8615120649337769,4.2721638679504395,0.8460779786109924,42.15625,1.8656501770019531,8.28125,0.8091278076171875,7.05078125,0.9377170205116272,4.125473499298096,0.8629503846168518,60.6944465637207,1.7654482126235962,8.40625,1.050687551498413,7.64453125,0.3699483275413513,58.40625,0.6129508018493652,5.688170433044434,0.8278720378875732,54.625,1.6829408407211304,15.396343231201172,1.0963507890701294,22.64471435546875,1.2919061183929443,60.6944465637207,22.64471435546875,0.8278720378875732,0.6129508018493652,8.630069732666016,1.2552868127822876,11.2265625,1.3182815313339233,7.472776412963867,0.8485453724861145,73.8125,4.9627485275268555,6.83203125,1.0941812992095947,8.1875,1.3370146751403809,22.64471435546875,1.2919061183929443,85.62500762939453,1.0260670185089111,10.5625,1.0921261310577393,9.9296875,0.4112261235713959,99.375,0.2798249125480652,7.939852714538574,0.8156237602233887,77.0625,0.9772140979766846,43.197086334228516,2.6441168785095215,44.98633575439453,2.8471744060516357,99.375,44.98633575439453,0.8156237602233887,0.2798249125480652,14.122530937194824,3.703270673751831,18.15625,2.293269157409668,9.273028373718262,0.9649263620376587,498.25,35.93959426879883,10.8125,1.8017823696136475,12.9140625,3.6472034454345703,44.98633575439453,2.8471744060516357,153.05555725097656,3.03013014793396,14.046875,1.0070855617523193,10.96875,0.608048141002655,131.375,0.4151366949081421,9.041790008544922,0.8820531964302063,137.75,2.907517194747925,199.48870849609375,15.206193923950195,204.3930206298828,16.085535049438477,498.25,204.3930206298828,0.8820531964302063,0.4151366949081421,18.621551513671875,5.288949966430664,15.8671875,1.2184174060821533,10.864407539367676,1.0670404434204102,808.0,65.57572937011719,11.7578125,1.3546634912490845,16.78125,5.314975261688232,204.3930206298828,16.085535049438477,740.0,18.67729377746582,25.78125,1.2144304513931274,18.328125,0.7228332161903381,277.0,1.7591387033462524,8.253680229187012,0.8141512870788574,758.0,17.963577270507812,465.674072265625,39.11357879638672,575.0086059570312,44.87202453613281,808.0,575.0086059570312,0.8141512870788574,1.7591387033462524
4,5.523276524957545,5.522751296081543,7.9676459069199375,0.0002,2097152.0,0.01585325039923191,0.47281670570373535,0.01983477156288094,0.058807373046875,3.794861078262329,112500.0,17.921875,3.9748008251190186,3.794861078262329,582540800.0,89069568.0,641728512.0,70.0,158.83494690587116,2833.1296655179995,11118.160122927,2779.54003073175,7.770290374755859,0.5981948375701904,8.5546875,0.8859149217605591,4.042874336242676,0.7861303687095642,40.65625,1.8653050661087036,8.2265625,0.8127514719963074,7.06640625,0.935930073261261,3.9748008251190186,0.8170480728149414,55.347225189208984,1.7383413314819336,8.109375,0.9788904190063477,8.109375,0.34927672147750854,61.3125,0.5538532733917236,5.268815994262695,0.7334886789321899,49.8125,1.656767725944519,15.96130657196045,1.0580811500549316,22.320301055908203,1.2721039056777954,61.3125,22.320301055908203,0.7334886789321899,0.5538532733917236,8.442557334899902,1.0597232580184937,10.6875,1.2982561588287354,7.2942328453063965,0.7778685092926025,70.9375,4.206535816192627,6.69140625,1.0701732635498047,7.6328125,1.1714640855789185,22.320301055908203,1.2721039056777954,57.2569465637207,0.9248088002204895,10.4921875,1.0358285903930664,9.3515625,0.370773583650589,97.0,0.2503180205821991,7.6231513023376465,0.7392231225967407,51.53125,0.882067084312439,39.37596893310547,2.3841381072998047,40.95652389526367,2.5576865673065186,97.0,40.95652389526367,0.7392231225967407,0.2503180205821991,13.82193374633789,2.579233407974243,18.46875,2.30825138092041,9.058477401733398,0.8893131017684937,438.0,26.879838943481445,10.5234375,1.6800142526626587,12.6796875,2.5658578872680664,40.95652389526367,2.5576865673065186,167.22222900390625,7.646450042724609,14.0625,1.041934847831726,11.46875,0.5814169645309448,141.125,0.8881064057350159,8.7371187210083,0.8295829892158508,150.5,7.332891464233398,182.0728302001953,11.746883392333984,197.4425811767578,14.09334659576416,438.0,197.4425811767578,0.8295829892158508,0.8881064057350159,18.374982833862305,4.307939529418945,15.46875,1.2883493900299072,10.67651653289795,0.9723781943321228,767.0,61.04821014404297,12.0234375,1.3012292385101318,16.6875,4.338690757751465,197.4425811767578,14.09334659576416,1802.2222900390625,45.077510833740234,34.375,1.2887364625930786,19.453125,0.724304735660553,343.75,3.4090635776519775,7.917410373687744,0.7518370747566223,1622.0,43.14952850341797,457.94256591796875,35.53036880493164,703.34423828125,50.32024002075195,1802.2222900390625,703.34423828125,0.7518370747566223,3.4090635776519775
